Feature,Bin,WOE,Coefficient,Points
MonthlyIncome,"(6218.3, 6903.25]",0.0399,0.946333,-1.09
MonthlyIncome,"(6903.25, 7757.4]",0.0399,0.946333,-1.09
MonthlyIncome,"(7757.4, 8861.6]",-0.4404,0.946333,12.03
MonthlyIncome,"(8861.6, 10429.9]",0.5194,0.946333,-14.18
DebtRatio,"(-inf, 0.019]",-0.4404,0.909511,11.56
DebtRatio,"(0.019, 0.0356]",0.2215,0.909511,-5.81
DebtRatio,"(0.0356, 0.0593]",0.1341,0.909511,-3.52
DebtRatio,"(0.0593, 0.0821]",-0.4404,0.909511,11.56
DebtRatio,"(0.0821, 0.108]",0.3029,0.909511,-7.95
DebtRatio,"(0.108, 0.134]",-0.175,0.909511,4.59
DebtRatio,"(0.134, 0.163]",-0.0626,0.909511,1.64
DebtRatio,"(0.163, 0.192]",0.4512,0.909511,-11.84
DebtRatio,"(0.192, 0.224]",0.0399,0.909511,-1.05
DebtRatio,"(0.224, 0.259]",-0.0626,0.909511,1.64
DebtRatio,"(0.259, 0.301]",0.3029,0.909511,-7.95
DebtRatio,"(0.301, 0.338]",-0.175,0.909511,4.59
DebtRatio,"(0.338, 0.387]",0.0399,0.909511,-1.05
DebtRatio,"(0.387, 0.441]",0.1341,0.909511,-3.52
DebtRatio,"(0.441, 0.498]",-0.4404,0.909511,11.56
DebtRatio,"(0.498, 0.584]",-0.7908,0.909511,20.75
DebtRatio,"(0.584, 0.686]",0.1341,0.909511,-3.52
DebtRatio,"(0.686, 0.823]",0.1341,0.909511,-3.52
DebtRatio,"(0.823, 1.097]",0.0399,0.909511,-1.05
DebtRatio,"(1.097, inf]",-0.0626,0.909511,1.64
RevolvingUtilizationOfUnsecuredLines,"(-inf, 0.0166]",0.2215,0.951382,-6.08
RevolvingUtilizationOfUnsecuredLines,"(0.0166, 0.0331]",-0.2999,0.951382,8.23
RevolvingUtilizationOfUnsecuredLines,"(0.0331, 0.0517]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.0517, 0.0674]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.0674, 0.086]",0.4512,0.951382,-12.39
RevolvingUtilizationOfUnsecuredLines,"(0.086, 0.108]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.108, 0.127]",-0.0626,0.951382,1.72
RevolvingUtilizationOfUnsecuredLines,"(0.127, 0.154]",-0.175,0.951382,4.81
RevolvingUtilizationOfUnsecuredLines,"(0.154, 0.176]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.176, 0.204]",-0.0626,0.951382,1.72
RevolvingUtilizationOfUnsecuredLines,"(0.204, 0.231]",0.3793,0.951382,-10.41
RevolvingUtilizationOfUnsecuredLines,"(0.231, 0.263]",-0.4404,0.951382,12.09
RevolvingUtilizationOfUnsecuredLines,"(0.263, 0.301]",0.0399,0.951382,-1.1
RevolvingUtilizationOfUnsecuredLines,"(0.301, 0.343]",-0.0626,0.951382,1.72
RevolvingUtilizationOfUnsecuredLines,"(0.343, 0.396]",-0.0626,0.951382,1.72
RevolvingUtilizationOfUnsecuredLines,"(0.396, 0.466]",-0.4404,0.951382,12.09
RevolvingUtilizationOfUnsecuredLines,"(0.466, 0.541]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.541, 0.665]",0.1341,0.951382,-3.68
RevolvingUtilizationOfUnsecuredLines,"(0.665, 0.861]",-0.175,0.951382,4.81
RevolvingUtilizationOfUnsecuredLines,"(0.861, inf]",-0.7908,0.951382,21.71
